Month,Place_Type,Climate,Trip_Duration_Days,Companions,Interest,Budget_Thousand_INR
September,Historical,Hot,6,o,Shopping,14.06
February,Wildlife,Hot,10,o,Culture,16.21
November,Historical,Hot,1,o,Food,11.96
February,Wildlife,Moderate,7,o,Shopping,16.41
February,City,Moderate,1,o,Food,13.12
April,City,Moderate,5,o,Shopping,15.68
May,Historical,Hot,5,o,Food,13.77
September,Historical,Hot,10,o,Relaxation,11.53
March,Wildlife,Hot,14,o,Culture,15.98
July,Wildlife,Moderate,7,o,Culture,19.79
April,City,Moderate,10,o,Food,12.56
August,Wildlife,Moderate,2,o,Shopping,18.52
May,Wildlife,Hot,4,o,Shopping,15.9
October,City,Moderate,7,o,Adventure,11.83
April,Wildlife,Hot,14,o,Food,21.01
December,Hill Station,Cold,6,o,Relaxation,17.3
January,Hill Station,Moderate,14,o,Relaxation,18.01
July,Wildlife,Hot,3,o,Culture,18.2
April,City,Moderate,6,o,Culture,14.04
June,City,Moderate,3,o,Food,12.81
November,Hill Station,Cold,6,o,Adventure,16.62
September,Historical,Hot,10,o,Relaxation,17.81
September,Hill Station,Cold,1,o,Food,13.24
July,Beach,Hot,5,o,Culture,17.75
May,Historical,Hot,1,o,Adventure,8.85
May,Beach,Hot,10,o,Shopping,14.44
December,City,Moderate,2,o,Shopping,13.31
February,Religious,Moderate,3,o,Shopping,10.19
January,Beach,Hot,4,o,Culture,26.15
June,Religious,Moderate,14,o,Culture,8.44
November,Historical,Hot,1,o,Food,11.18
June,Hill Station,Cold,14,o,Adventure,18.7
April,Wildlife,Hot,6,o,Relaxation,16.23
January,Beach,Hot,2,o,Shopping,23.53
December,Beach,Hot,1,o,Culture,21.03
June,Hill Station,Cold,10,o,Food,15.13
January,Beach,Moderate,2,o,Adventure,18.4
August,Beach,Hot,2,o,Culture,20.28
September,Wildlife,Moderate,1,o,Culture,19.6
May,Historical,Hot,2,o,Food,10.03
January,Beach,Hot,6,o,Culture,23.67
February,City,Moderate,4,o,Food,7.99
August,Wildlife,Hot,2,o,Food,19.49
February,Wildlife,Hot,10,o,Shopping,17.36
October,Hill Station,Cold,3,o,Culture,14.26
September,Wildlife,Hot,6,o,Relaxation,17.84
October,Hill Station,Moderate,7,o,Adventure,18.45
April,Hill Station,Cold,4,o,Food,16.37
May,Beach,Moderate,6,o,Relaxation,19.89
October,Beach,Hot,5,o,Adventure,20.22
August,Hill Station,Cold,2,o,Relaxation,12.0
September,Historical,Hot,14,o,Culture,14.22
December,City,Moderate,10,o,Relaxation,9.22
July,City,Moderate,2,o,Shopping,11.79
December,Hill Station,Cold,3,o,Shopping,13.65
January,Religious,Moderate,7,o,Relaxation,5.0
July,Wildlife,Moderate,6,o,Adventure,14.12
February,Historical,Hot,2,o,Relaxation,10.09
November,Wildlife,Hot,2,o,Adventure,19.66
November,Wildlife,Moderate,3,o,Adventure,21.2
October,Religious,Moderate,4,o,Food,9.47
June,Beach,Hot,6,o,Relaxation,18.2
December,Wildlife,Moderate,3,o,Food,22.94
April,Hill Station,Cold,2,o,Relaxation,10.38
July,City,Moderate,14,o,Food,14.5
October,Religious,Moderate,7,o,Adventure,5.03
July,Religious,Moderate,14,o,Food,9.92
January,Hill Station,Cold,6,o,Culture,15.37
March,Beach,Hot,1,o,Adventure,20.74
September,Beach,Hot,2,o,Adventure,16.27
December,Historical,Hot,14,o,Adventure,13.82
December,Hill Station,Cold,7,o,Culture,11.78
August,Hill Station,Cold,2,o,Food,20.3
April,City,Moderate,5,o,Food,9.96
May,Historical,Hot,6,o,Culture,9.61
October,Hill Station,Cold,6,o,Adventure,10.58
March,Wildlife,Moderate,10,o,Shopping,17.26
July,City,Moderate,14,o,Shopping,13.13
November,Beach,Hot,1,o,Food,22.88
October,Historical,Hot,5,o,Relaxation,14.37
November,Hill Station,Cold,1,o,Relaxation,11.27
November,City,Moderate,10,o,Shopping,10.84
April,Historical,Hot,14,o,Culture,12.36
July,City,Moderate,2,o,Shopping,9.6
January,Wildlife,Hot,2,o,Relaxation,14.23
March,Historical,Hot,14,o,Shopping,12.3
August,Religious,Moderate,5,o,Adventure,9.99
June,Religious,Moderate,1,o,Food,10.59
October,Beach,Hot,10,o,Relaxation,20.79
July,Historical,Hot,7,o,Adventure,8.03
January,Beach,Hot,4,o,Shopping,12.53
July,City,Moderate,14,o,Culture,16.65
November,Wildlife,Moderate,1,o,Shopping,15.66
July,Hill Station,Moderate,3,o,Culture,16.63
January,Historical,Hot,3,o,Culture,10.59
March,Hill Station,Cold,4,o,Shopping,19.5
March,Hill Station,Cold,5,o,Culture,14.81
March,Beach,Hot,6,o,Culture,19.76
January,Religious,Moderate,14,o,Adventure,9.68
July,City,Moderate,2,o,Food,14.74
June,Historical,Hot,1,o,Adventure,10.12
November,City,Moderate,6,o,Adventure,12.4
April,Religious,Moderate,2,o,Culture,16.09
May,Beach,Moderate,6,o,Food,25.97
October,Historical,Hot,4,o,Culture,12.01
March,City,Moderate,3,o,Relaxation,13.53
October,Religious,Moderate,2,o,Adventure,7.79
December,Beach,Hot,4,o,Culture,18.42
December,Religious,Moderate,2,o,Culture,19.75
August,City,Moderate,14,o,Food,14.44
November,Beach,Moderate,10,o,Relaxation,22.56
January,Historical,Hot,3,o,Culture,12.03
September,Hill Station,Cold,3,o,Shopping,14.37
August,Beach,Moderate,14,o,Relaxation,20.61
January,Hill Station,Cold,7,o,Adventure,13.7
July,Beach,Moderate,6,o,Relaxation,18.62
November,Historical,Hot,6,o,Relaxation,11.88
May,City,Moderate,6,o,Shopping,11.49
December,Beach,Hot,5,o,Relaxation,22.86
December,Wildlife,Moderate,10,o,Relaxation,18.39
May,Religious,Moderate,5,o,Culture,11.95
November,Religious,Moderate,6,o,Relaxation,10.86
February,Beach,Hot,10,o,Adventure,19.57
January,Wildlife,Moderate,6,o,Food,19.77
June,Hill Station,Cold,6,o,Culture,13.23
August,Beach,Hot,3,o,Food,20.98
July,Hill Station,Cold,10,o,Shopping,18.73
December,Historical,Hot,1,o,Shopping,11.23
September,Wildlife,Moderate,10,o,Food,18.46
August,City,Moderate,2,o,Food,13.59
November,Religious,Moderate,10,o,Adventure,13.32
November,City,Moderate,4,o,Adventure,9.85
June,Religious,Moderate,4,o,Food,9.98
July,Hill Station,Cold,3,o,Relaxation,14.32
May,Hill Station,Moderate,2,o,Shopping,17.75
January,City,Moderate,2,o,Relaxation,16.56
May,Hill Station,Cold,5,o,Adventure,15.89
October,City,Moderate,7,o,Food,9.38
May,City,Moderate,5,o,Shopping,18.28
October,Beach,Hot,10,o,Adventure,19.62
April,Hill Station,Cold,4,o,Culture,12.14
August,Beach,Hot,3,o,Food,17.95
August,Wildlife,Moderate,1,o,Food,16.11
December,Hill Station,Cold,4,o,Adventure,14.71
May,Religious,Moderate,5,o,Relaxation,8.54
December,Wildlife,Hot,14,o,Culture,20.48
December,Religious,Moderate,7,o,Food,12.85
September,Religious,Moderate,14,o,Food,15.93
July,Hill Station,Moderate,1,o,Food,13.51
June,Religious,Moderate,3,o,Adventure,8.14
August,Historical,Hot,7,o,Relaxation,13.09
May,Beach,Hot,1,o,Shopping,16.48
March,Beach,Hot,3,o,Adventure,25.7
June,Beach,Hot,5,o,Food,21.18
January,Wildlife,Hot,5,o,Shopping,12.99
May,Historical,Hot,14,o,Adventure,13.84
August,Beach,Hot,5,o,Food,15.18
May,Historical,Hot,1,o,Shopping,9.79
July,Historical,Hot,7,o,Relaxation,12.58
January,Historical,Hot,1,o,Shopping,7.29
December,Religious,Moderate,3,o,Shopping,11.38
March,Beach,Hot,14,o,Adventure,17.02
April,Beach,Hot,14,o,Food,17.42
September,Historical,Hot,5,o,Shopping,15.9
May,Historical,Hot,4,o,Shopping,12.11
January,Wildlife,Moderate,5,o,Relaxation,14.29
July,Religious,Moderate,3,o,Food,14.74
July,Religious,Moderate,7,o,Shopping,11.41
June,Hill Station,Cold,4,o,Food,16.99
May,Hill Station,Moderate,5,o,Relaxation,21.47
December,Beach,Moderate,5,o,Food,14.18
September,Wildlife,Hot,5,o,Adventure,17.38
March,Historical,Hot,5,o,Adventure,13.48
July,Beach,Hot,4,o,Adventure,16.61
December,Historical,Hot,1,o,Shopping,11.82
May,City,Moderate,14,o,Shopping,12.76
December,Hill Station,Cold,6,o,Shopping,15.5
December,Wildlife,Hot,14,o,Culture,19.9
May,Religious,Moderate,3,o,Food,13.49
October,Hill Station,Cold,4,o,Shopping,9.4
April,Hill Station,Cold,7,o,Shopping,14.97
August,City,Moderate,7,o,Relaxation,11.04
August,Historical,Hot,10,o,Food,8.93
April,Historical,Hot,6,o,Food,8.39
April,Wildlife,Hot,5,o,Adventure,15.31
October,Hill Station,Cold,2,o,Culture,12.16
September,Wildlife,Hot,1,o,Relaxation,21.62
July,Wildlife,Hot,10,o,Relaxation,15.42
October,Beach,Hot,1,o,Relaxation,15.13
February,Religious,Moderate,6,o,Shopping,7.36
February,Hill Station,Moderate,2,o,Adventure,14.75
May,Beach,Hot,14,o,Culture,19.41
March,Hill Station,Cold,4,o,Culture,19.39
October,Historical,Hot,3,o,Shopping,5.0
October,Hill Station,Cold,1,o,Food,15.21
July,Hill Station,Moderate,2,o,Food,6.57
December,Historical,Hot,1,o,Shopping,13.82
August,City,Moderate,4,o,Culture,11.82
August,Wildlife,Hot,7,o,Shopping,15.84
August,Historical,Hot,3,o,Shopping,14.14
January,Hill Station,Cold,3,o,Adventure,10.4
July,Beach,Hot,5,o,Relaxation,16.21
June,Beach,Hot,14,o,Adventure,16.72
May,Historical,Hot,6,o,Relaxation,13.18
November,Wildlife,Hot,6,o,Adventure,16.69
April,City,Moderate,3,o,Food,17.09
February,Historical,Hot,2,o,Adventure,10.68
November,Religious,Moderate,2,o,Culture,12.83
November,Historical,Hot,3,o,Relaxation,12.11
October,Religious,Moderate,7,o,Adventure,10.54
September,Wildlife,Hot,14,o,Shopping,19.72
January,Religious,Moderate,14,o,Adventure,11.46
June,City,Moderate,14,o,Relaxation,13.25
May,Historical,Hot,4,o,Food,12.87
May,Religious,Moderate,5,o,Shopping,10.39
July,Historical,Hot,4,o,Relaxation,12.38
August,Beach,Hot,7,o,Shopping,18.56
December,City,Moderate,6,o,Culture,17.89
July,Wildlife,Hot,5,o,Shopping,19.66
December,Wildlife,Moderate,2,o,Shopping,12.25
May,City,Moderate,10,o,Relaxation,9.66
December,City,Moderate,3,o,Adventure,14.3
April,City,Moderate,10,o,Culture,12.44
November,Historical,Hot,1,o,Food,10.56
October,Wildlife,Moderate,7,o,Food,17.58
May,City,Moderate,6,o,Food,9.13
June,Hill Station,Cold,5,o,Shopping,13.54
September,Wildlife,Moderate,1,o,Shopping,10.35
April,City,Moderate,4,o,Food,16.82
October,Religious,Moderate,4,o,Shopping,7.03
July,Beach,Moderate,7,o,Relaxation,21.2
January,City,Moderate,10,o,Culture,11.89
January,Beach,Hot,5,o,Relaxation,17.58
December,Hill Station,Moderate,7,o,Adventure,14.77
January,Beach,Moderate,6,o,Culture,21.68
July,Hill Station,Cold,6,o,Relaxation,13.6
August,Wildlife,Hot,7,o,Food,15.25
July,Beach,Hot,10,o,Culture,23.38
December,City,Moderate,7,o,Culture,10.43
April,Historical,Hot,3,o,Relaxation,8.44
October,Historical,Hot,10,o,Food,12.55
October,City,Moderate,3,o,Culture,7.44
January,Hill Station,Cold,2,o,Adventure,14.69
July,Hill Station,Moderate,1,o,Shopping,15.86
June,Historical,Hot,2,o,Food,11.39
May,Historical,Hot,10,o,Food,15.37
September,Historical,Hot,4,o,Relaxation,16.15
February,Beach,Moderate,5,o,Shopping,17.96
August,City,Moderate,6,o,Culture,10.63
October,City,Moderate,4,o,Food,15.21
November,City,Moderate,3,o,Culture,12.23
August,Historical,Hot,1,o,Relaxation,14.66
August,Religious,Moderate,6,o,Food,14.63
August,Historical,Hot,2,o,Adventure,12.83
October,Religious,Moderate,3,o,Relaxation,12.67
April,Beach,Hot,2,o,Adventure,18.17
August,Beach,Moderate,5,o,Shopping,19.12
December,City,Moderate,4,o,Adventure,9.34
September,Beach,Moderate,10,o,Shopping,23.9
January,Hill Station,Cold,10,o,Food,12.86
November,Wildlife,Hot,7,o,Adventure,20.64
January,Religious,Moderate,7,o,Adventure,11.32
January,City,Moderate,10,o,Shopping,12.0
November,Wildlife,Moderate,5,o,Food,12.41
April,Historical,Hot,1,o,Food,7.57
June,Beach,Hot,10,o,Food,21.7
November,Beach,Hot,5,o,Culture,17.94
May,Religious,Moderate,3,o,Culture,16.38
January,Historical,Hot,1,o,Food,13.23
September,Beach,Hot,14,o,Shopping,22.31
April,Beach,Hot,2,o,Culture,20.38
June,Historical,Hot,14,o,Food,11.46
January,City,Moderate,14,o,Culture,13.05
April,Wildlife,Hot,1,o,Food,17.74
August,Beach,Hot,6,o,Adventure,23.37
March,Historical,Hot,7,o,Culture,11.41
December,Wildlife,Moderate,6,o,Adventure,15.84
March,Beach,Hot,7,o,Adventure,15.0
January,Historical,Hot,3,o,Relaxation,13.96
June,Beach,Hot,5,o,Shopping,19.43
August,Hill Station,Cold,2,o,Adventure,12.09
March,City,Moderate,10,o,Adventure,15.22
February,Beach,Hot,3,o,Adventure,24.21
February,Religious,Moderate,14,o,Relaxation,11.74
May,City,Moderate,3,o,Adventure,15.85
March,Beach,Hot,1,o,Food,14.85
March,Religious,Moderate,1,o,Food,6.16
October,City,Moderate,4,o,Adventure,20.29
September,Hill Station,Moderate,5,o,Culture,12.38
September,Religious,Moderate,6,o,Relaxation,8.24
August,Historical,Hot,4,o,Food,7.57
December,Wildlife,Moderate,6,o,Culture,15.47
September,Religious,Moderate,2,o,Relaxation,11.55
March,City,Moderate,10,o,Food,16.36
March,Beach,Moderate,7,o,Food,18.41
June,City,Moderate,2,o,Food,15.41
June,Wildlife,Hot,6,o,Relaxation,12.01
September,Religious,Moderate,14,o,Shopping,6.51
June,Religious,Moderate,1,o,Culture,9.88
February,Beach,Hot,7,o,Food,14.38
May,Religious,Moderate,14,o,Culture,14.63
November,Historical,Hot,6,o,Adventure,10.48
September,Hill Station,Moderate,5,o,Food,14.1
December,Wildlife,Hot,1,o,Culture,11.3
May,Wildlife,Moderate,7,o,Culture,16.29
April,Religious,Moderate,6,o,Adventure,11.99
October,Hill Station,Cold,6,o,Shopping,19.13
December,City,Moderate,4,o,Food,19.45
September,City,Moderate,2,o,Food,14.56
August,Hill Station,Moderate,10,o,Relaxation,8.75
August,City,Moderate,10,o,Shopping,14.89
October,Historical,Hot,3,o,Culture,10.23
March,City,Moderate,4,o,Adventure,9.28
May,Wildlife,Hot,4,o,Relaxation,15.8
January,Historical,Hot,1,o,Food,12.1
June,Historical,Hot,6,o,Culture,9.32
May,Wildlife,Moderate,7,o,Food,20.53
July,Historical,Hot,7,o,Adventure,6.98
June,Beach,Hot,7,o,Food,15.71
March,Religious,Moderate,6,o,Adventure,5.23
January,City,Moderate,3,o,Culture,12.26
May,Historical,Hot,1,o,Shopping,7.44
March,Historical,Hot,3,o,Adventure,12.14
July,Historical,Hot,6,o,Shopping,14.25
June,Beach,Hot,2,o,Culture,17.92
February,Religious,Moderate,10,o,Culture,14.15
June,Religious,Moderate,5,o,Adventure,12.52
April,City,Moderate,5,o,Food,12.94
June,City,Moderate,6,o,Food,10.28
July,Historical,Hot,14,o,Adventure,13.35
June,Religious,Moderate,10,o,Relaxation,10.08
September,Religious,Moderate,1,o,Shopping,9.86
May,Wildlife,Hot,2,o,Adventure,15.69
May,Hill Station,Moderate,4,o,Adventure,10.57
June,Hill Station,Moderate,6,o,Adventure,8.13
June,Religious,Moderate,3,o,Food,7.67
April,Hill Station,Cold,4,o,Food,14.61
October,Historical,Hot,4,o,Adventure,7.77
September,Hill Station,Cold,14,o,Adventure,19.52
February,Wildlife,Moderate,1,o,Adventure,14.0
April,City,Moderate,2,o,Food,17.6
April,Hill Station,Moderate,3,o,Culture,8.82
May,Hill Station,Cold,1,o,Shopping,14.9
December,Hill Station,Moderate,4,o,Relaxation,11.66
August,Wildlife,Moderate,1,o,Relaxation,16.08
September,Beach,Hot,14,o,Relaxation,19.86
March,Religious,Moderate,2,o,Food,5.32
May,Wildlife,Hot,5,o,Food,16.52
August,Historical,Hot,7,o,Shopping,8.98
March,Historical,Hot,1,o,Culture,18.69
September,Wildlife,Hot,2,o,Culture,15.26
December,Beach,Moderate,7,o,Relaxation,19.99
May,Historical,Hot,3,o,Shopping,15.76
May,Religious,Moderate,1,o,Culture,14.75
April,City,Moderate,3,o,Food,14.37
April,Historical,Hot,10,o,Shopping,13.89
February,Wildlife,Hot,14,o,Food,21.67
May,Historical,Hot,3,o,Culture,14.8
August,City,Moderate,2,o,Food,5.0
October,City,Moderate,4,o,Shopping,17.74
February,Wildlife,Hot,6,o,Relaxation,23.03
May,City,Moderate,3,o,Shopping,15.41
March,Beach,Hot,7,o,Adventure,22.64
October,Wildlife,Hot,7,o,Food,21.05
July,City,Moderate,14,o,Shopping,11.41
March,Hill Station,Cold,3,o,Food,20.71
November,Wildlife,Moderate,3,o,Relaxation,23.18
August,City,Moderate,3,o,Food,17.09
August,Beach,Moderate,4,o,Relaxation,16.26
May,Beach,Hot,1,o,Food,15.11
September,Historical,Hot,7,o,Relaxation,13.86
June,Historical,Hot,10,o,Food,7.72
May,Wildlife,Hot,6,o,Adventure,20.17
November,City,Moderate,10,o,Culture,12.76
August,Religious,Moderate,14,o,Culture,5.77
June,Historical,Hot,6,o,Adventure,10.63
November,Hill Station,Moderate,10,o,Shopping,14.53
November,Religious,Moderate,5,o,Culture,11.5
July,Wildlife,Moderate,4,o,Relaxation,16.22
June,Beach,Moderate,7,o,Adventure,18.51
June,Hill Station,Cold,4,o,Shopping,17.56
January,City,Moderate,1,o,Relaxation,12.17
November,City,Moderate,14,o,Adventure,7.29
August,Historical,Hot,2,o,Culture,10.55
April,City,Moderate,6,o,Adventure,13.13
September,Hill Station,Moderate,6,o,Food,18.67
July,Religious,Moderate,6,o,Culture,11.86
April,Religious,Moderate,6,o,Relaxation,7.21
September,Wildlife,Hot,2,o,Adventure,19.79
March,Religious,Moderate,3,o,Relaxation,9.02
July,Religious,Moderate,4,o,Shopping,9.27
December,Beach,Hot,1,o,Food,19.96
April,City,Moderate,14,o,Relaxation,14.29
January,Hill Station,Cold,14,o,Shopping,11.76
January,Wildlife,Hot,1,o,Shopping,14.08
October,City,Moderate,2,o,Relaxation,10.78
August,Wildlife,Moderate,5,o,Culture,17.29
October,Wildlife,Hot,1,o,Culture,17.61
January,City,Moderate,3,o,Shopping,5.0
February,City,Moderate,5,o,Adventure,12.76
April,Beach,Hot,1,o,Food,15.28
August,City,Moderate,6,o,Shopping,14.12
July,Hill Station,Moderate,2,o,Adventure,13.83
February,Hill Station,Cold,7,o,Relaxation,18.99
June,Wildlife,Hot,4,o,Culture,16.44
August,Historical,Hot,4,o,Culture,11.32
April,Beach,Hot,2,o,Culture,24.31
May,Wildlife,Moderate,4,o,Shopping,17.85
July,Hill Station,Cold,7,o,Shopping,19.94
March,City,Moderate,4,o,Adventure,12.29
July,Beach,Hot,6,o,Adventure,18.45
March,City,Moderate,5,o,Shopping,14.53
June,Historical,Hot,3,o,Culture,10.12
January,Historical,Hot,4,o,Relaxation,8.61
March,Historical,Hot,10,o,Adventure,12.73
January,Religious,Moderate,1,o,Adventure,10.71
August,City,Moderate,1,o,Food,15.06
August,Historical,Hot,2,o,Culture,14.65
December,Hill Station,Cold,14,o,Adventure,13.86
December,Hill Station,Cold,4,o,Shopping,14.38
April,Beach,Hot,4,o,Culture,19.15
November,Religious,Moderate,6,o,Adventure,9.11
December,City,Moderate,6,o,Food,10.41
August,Hill Station,Cold,1,o,Culture,17.08
March,Historical,Hot,2,o,Relaxation,9.17
March,Religious,Moderate,5,o,Adventure,8.49
July,Beach,Hot,14,o,Culture,20.96
October,City,Moderate,1,o,Adventure,9.05
February,Beach,Hot,2,o,Culture,18.63
September,City,Moderate,1,o,Food,14.39
October,City,Moderate,4,o,Adventure,12.05
June,Beach,Hot,4,o,Shopping,19.93
April,Beach,Hot,1,o,Relaxation,17.39
December,City,Moderate,5,o,Culture,12.94
January,Beach,Hot,14,o,Adventure,17.87
May,City,Moderate,4,o,Shopping,14.79
November,Historical,Hot,3,o,Adventure,15.9
December,Hill Station,Moderate,5,o,Adventure,15.85
March,Historical,Hot,6,o,Adventure,12.8
November,Religious,Moderate,4,o,Food,11.64
August,Beach,Moderate,14,o,Adventure,24.26
February,City,Moderate,10,o,Food,7.15
January,Historical,Hot,6,o,Culture,14.0
December,Wildlife,Hot,4,o,Shopping,19.95
December,Religious,Moderate,2,o,Adventure,8.08
October,Hill Station,Cold,2,o,Culture,12.31
December,Historical,Hot,2,o,Relaxation,10.55
May,Historical,Hot,10,o,Shopping,12.73
January,Hill Station,Moderate,7,o,Culture,11.78
March,City,Moderate,6,o,Culture,15.5
August,Wildlife,Moderate,1,o,Culture,20.95
June,Religious,Moderate,1,o,Shopping,12.94
March,Wildlife,Hot,1,o,Shopping,19.51
March,Historical,Hot,3,o,Shopping,12.5
November,Historical,Hot,3,o,Food,16.28
November,Historical,Hot,7,o,Relaxation,11.62
September,Religious,Moderate,7,o,Adventure,10.18
January,Wildlife,Moderate,4,o,Adventure,14.08
November,Historical,Hot,2,o,Food,9.97
January,Wildlife,Hot,14,o,Food,15.88
January,Hill Station,Cold,4,o,Adventure,12.22
November,Beach,Hot,3,o,Shopping,18.4
November,Wildlife,Moderate,14,o,Culture,16.75
August,Historical,Hot,1,o,Shopping,6.88
August,Hill Station,Cold,3,o,Food,14.8
March,Religious,Moderate,2,o,Food,10.77
November,Hill Station,Cold,7,o,Shopping,14.78
August,City,Moderate,10,o,Adventure,14.03
June,Beach,Hot,7,o,Food,19.82
March,Religious,Moderate,3,o,Food,6.13
April,Hill Station,Cold,6,o,Adventure,14.89
December,Historical,Hot,10,o,Food,10.42
January,City,Moderate,1,o,Culture,9.93
July,Historical,Hot,10,o,Adventure,11.14
July,Religious,Moderate,10,o,Food,15.88
February,Beach,Moderate,14,o,Food,15.91
December,Beach,Moderate,10,o,Shopping,25.08
August,City,Moderate,10,o,Culture,12.22
October,Wildlife,Moderate,6,o,Culture,11.59
September,Religious,Moderate,4,o,Relaxation,11.3
October,City,Moderate,10,o,Food,12.23
March,Hill Station,Cold,1,o,Culture,11.45
December,Hill Station,Cold,7,o,Adventure,20.2
February,City,Moderate,3,o,Food,5.7
October,Historical,Hot,2,o,Adventure,12.74
October,Wildlife,Moderate,4,o,Food,17.13
November,Beach,Hot,1,o,Relaxation,20.21
September,Beach,Hot,10,o,Relaxation,23.19
June,Wildlife,Moderate,7,o,Adventure,13.85
December,Wildlife,Hot,10,o,Food,13.71
June,City,Moderate,6,o,Relaxation,15.75
January,Beach,Hot,3,o,Relaxation,23.63
August,Wildlife,Moderate,5,o,Food,14.73
March,Historical,Hot,14,o,Adventure,18.7
November,Beach,Hot,4,o,Food,23.1
August,City,Moderate,4,o,Adventure,8.87
March,Wildlife,Hot,4,o,Relaxation,14.99
September,Hill Station,Cold,7,o,Shopping,14.55
October,City,Moderate,5,o,Relaxation,16.93
November,Religious,Moderate,1,o,Culture,7.49
December,City,Moderate,10,o,Shopping,12.94
February,Religious,Moderate,10,o,Food,12.92
March,City,Moderate,5,o,Adventure,19.29
April,Beach,Hot,6,o,Culture,18.62
December,Beach,Hot,6,o,Adventure,20.72
October,Historical,Hot,3,o,Adventure,13.76
October,Historical,Hot,5,o,Adventure,15.28
July,Wildlife,Hot,6,o,Relaxation,19.27
March,Historical,Hot,5,o,Shopping,13.13
February,Beach,Hot,7,o,Food,19.45
January,Wildlife,Hot,14,o,Shopping,14.09
January,Wildlife,Hot,7,o,Culture,17.74
October,Wildlife,Moderate,5,o,Relaxation,19.26
December,City,Moderate,2,o,Adventure,11.24
August,Hill Station,Cold,10,o,Relaxation,15.17
May,City,Moderate,3,o,Culture,16.74
September,Hill Station,Cold,2,o,Adventure,13.78
October,Wildlife,Hot,2,o,Food,18.61
April,Beach,Hot,6,o,Food,22.83
September,Historical,Hot,5,o,Relaxation,12.59
February,Wildlife,Hot,6,o,Adventure,19.3
April,Religious,Moderate,5,o,Adventure,12.86
January,Historical,Hot,2,o,Shopping,12.86
July,Historical,Hot,3,o,Relaxation,12.48
May,City,Moderate,7,o,Culture,9.2
February,Beach,Hot,4,o,Relaxation,19.38
October,City,Moderate,3,o,Shopping,11.22
May,Beach,Hot,1,o,Food,18.73
April,Historical,Hot,5,o,Shopping,6.74
July,Beach,Moderate,1,o,Shopping,23.39
August,Wildlife,Moderate,1,o,Culture,17.15
January,Religious,Moderate,4,o,Shopping,11.63
August,Wildlife,Moderate,6,o,Adventure,20.33
June,Hill Station,Cold,3,o,Relaxation,17.27
December,Hill Station,Moderate,3,o,Adventure,13.6
May,Hill Station,Cold,2,o,Relaxation,12.79
February,Historical,Hot,7,o,Shopping,9.99
June,Wildlife,Hot,7,o,Food,14.78
December,City,Moderate,6,o,Food,12.6
April,City,Moderate,4,o,Relaxation,10.67
December,Historical,Hot,1,o,Culture,14.82
February,Beach,Moderate,6,o,Food,20.23
February,Historical,Hot,10,o,Food,10.63
December,Religious,Moderate,10,o,Culture,11.68
January,Wildlife,Hot,6,o,Food,13.0
March,Beach,Hot,3,o,Food,23.92
November,Hill Station,Cold,5,o,Adventure,17.29
February,Beach,Moderate,5,o,Food,22.77
February,Hill Station,Moderate,4,o,Adventure,15.37
October,Wildlife,Moderate,4,o,Shopping,21.79
March,Wildlife,Hot,7,o,Culture,18.1
February,City,Moderate,3,o,Adventure,13.73
August,Religious,Moderate,5,o,Adventure,9.19
October,Hill Station,Cold,14,o,Adventure,16.72
July,Religious,Moderate,14,o,Culture,10.3
June,Wildlife,Hot,5,o,Shopping,16.46
March,Wildlife,Moderate,10,o,Food,15.1
November,Beach,Hot,7,o,Relaxation,18.92
February,Historical,Hot,7,o,Food,12.49
February,City,Moderate,6,o,Food,10.77
September,Beach,Hot,1,o,Adventure,22.83
January,Hill Station,Cold,14,o,Relaxation,13.92
February,City,Moderate,6,o,Relaxation,12.99
May,Historical,Hot,3,o,Relaxation,14.58
December,Wildlife,Moderate,3,o,Adventure,16.47
March,Beach,Hot,7,o,Shopping,20.31
March,Historical,Hot,1,o,Relaxation,11.44
May,Beach,Hot,3,o,Relaxation,26.51
January,Beach,Moderate,10,o,Shopping,24.33
May,Historical,Hot,3,o,Adventure,6.98
September,Wildlife,Hot,10,o,Food,16.37
August,Religious,Moderate,5,o,Shopping,12.06
March,Hill Station,Moderate,2,o,Shopping,12.48
March,Hill Station,Moderate,5,o,Culture,12.97
April,Religious,Moderate,4,o,Adventure,11.93
February,Religious,Moderate,1,o,Culture,9.98
May,Religious,Moderate,10,o,Relaxation,8.38
March,Beach,Hot,7,o,Culture,16.07
July,City,Moderate,14,o,Adventure,7.63
March,Wildlife,Hot,10,o,Food,20.02
September,Historical,Hot,6,o,Food,11.46
September,Religious,Moderate,2,o,Relaxation,8.36
October,Wildlife,Hot,4,o,Food,16.11
August,Historical,Hot,14,o,Relaxation,13.36
January,Religious,Moderate,10,o,Food,15.42
March,Religious,Moderate,4,o,Culture,12.23
February,City,Moderate,14,o,Relaxation,10.91
April,Wildlife,Hot,2,o,Food,12.14
October,Hill Station,Cold,3,o,Food,13.03
June,Religious,Moderate,4,o,Relaxation,11.58
June,City,Moderate,1,o,Adventure,11.34
August,Historical,Hot,6,o,Shopping,8.83
May,Hill Station,Cold,7,o,Food,19.67
July,Beach,Hot,14,o,Shopping,16.87
February,Historical,Hot,4,o,Relaxation,13.62
October,Wildlife,Hot,6,o,Culture,15.71
May,Hill Station,Moderate,6,o,Food,15.66
June,City,Moderate,6,o,Relaxation,12.87
April,City,Moderate,1,o,Relaxation,5.0
